model_id,LHS_ICaL,LHS_INa,LHS_INaCa,LHS_INaK,LHS_IKr,LHS_IKs,LHS_Ito,concentration_uM,APD90,APD30,triangulation,Vpeak,Vrest,EAD,max_repol_rate
1,1.66712530280973,1.58422786120084,1.33355027907539,1.25207012855353,2,1.46625357190836,0.795559355367615,0.328,254.781035952485,158.782787906258,95.9982480462271,39.9800042353164,-89.073324827349,0,-3.91276793032798
2,1.60748560529636,1.35056448125833,1.4293407191597,1.03796234910971,1.40338292856475,1.72619819786196,1.1561628758251,0.328,317.915441831914,193.419075501985,124.496366329929,36.4095586019343,-88.7864541958308,0,-4.15311224944832
3,0.81943647190566,1.06700152090386,0.920567089226194,1.75022995323641,0.813581255017887,1.2362521639196,0.889428969443943,0.328,277.120300615233,161.910472271968,115.209828343265,32.5311886332456,-89.7438620008476,0,-3.67890519780663
4,1.27256943476704,1.74161443151063,1.28718866578003,1.66572390021344,1.63575991288039,1.53429001897035,0.697863550749284,0.328,249.81523537981,147.139720458422,102.675514921388,42.1660282482153,-89.5773722933674,0,-4.80542893792169
5,0.53707275747463,0.789658183989127,1.19270095566806,0.56395417746296,1.49424403436204,1.79488431551683,0.750897089997232,0.328,257.943887408568,166.210664840504,91.733222568064,25.1881082210368,-88.347899442065,0,-1.93400192859861
6,1.32730637232664,1.19078224735637,1.72277200321258,0.5,0.956576518268297,1.90959343842377,1.37416473095208,0.328,438.278273339158,253.226495463686,185.051777875472,33.0191912759499,-88.0068800119035,0,-4.13403794406674
7,1.22208132143514,0.530069256695581,0.527915871113222,0.888666493550028,0.612115787950445,0.765354881497578,0.966807816466722,0.328,338.057454955262,189.221719156098,148.835735799164,24.286824259542,-88.811455488732,0,-1.09338896605916
8,1.84227520205107,1.13992482519661,0.765463556604139,1.36021536683808,1.57527757796957,1.88474556612076,1.22882387184365,0.328,243.037211215362,152.35414905793,90.6830621574325,33.6912014991489,-89.2948067584054,0,-2.78959619740648
9,1.03352111934377,0.684454344999058,1.89718404934272,1.89479895018842,1.20385039670378,1.37703263940845,1.54897134946353,0.328,299.269954690764,215.772494313383,83.4974603773809,23.5526687602182,-89.8160089093379,0,-2.30041274609149
10,0.927143700795305,0.8813331143729,1.67884321829077,0.736073190990768,1.76425348748498,1.04976808191181,1.68620788777502,0.328,284.828651613775,200.196192741255,84.6324588725209,27.1714936843441,-88.4731407703903,0,-4.1805558162849
11,0.995632319526428,0.836508194451878,0.969769270122298,1.24066932783597,1.19084200827535,1.29168278874821,0.552429491125788,0.328,276.09596520941,178.7614638397,97.3345013697098,27.5796656685619,-89.1706181991724,0,-1.27892175441437
12,1.58594447884161,1.45601888127306,1.24634346693357,0.905076842456267,1.83878058175527,1.97631625475551,1.85427717184918,0.328,269.070224530352,166.548651191222,102.52157333913,37.52313532435,-88.6600998128963,0,-7.29072639000081
