model_id,LHS_ICaL,LHS_INa,LHS_INaCa,LHS_INaK,LHS_IKr,LHS_IKs,LHS_Ito,concentration_uM,APD90,APD30,triangulation,Vpeak,Vrest,EAD,max_repol_rate
1,1.66712530280973,1.58422786120084,1.33355027907539,1.25207012855353,2,1.46625357190836,0.795559355367615,0.518,300.777900805531,176.091740893371,124.68615991216,41.8053052861481,-88.8888593450294,0,-3.3877905886003
2,1.60748560529636,1.35056448125833,1.4293407191597,1.03796234910971,1.40338292856475,1.72619819786196,1.1561628758251,0.518,377.578545766136,222.926941606041,154.651604160095,38.4086586852392,-88.5585963411254,0,-3.40650337166169
3,0.81943647190566,1.06700152090386,0.920567089226194,1.75022995323641,0.813581255017887,1.2362521639196,0.889428969443943,0.518,313.289151250269,176.791751558041,136.497399692228,34.5481461850693,-89.7052259144629,0,-3.05111101827165
4,1.27256943476704,1.74161443151063,1.28718866578003,1.66572390021344,1.63575991288039,1.53429001897035,0.697863550749284,0.518,291.532069283549,162.470199307628,129.061869975921,43.8524160585344,-89.4942070426992,0,-4.27199673190799
5,0.53707275747463,0.789658183989127,1.19270095566806,0.56395417746296,1.49424403436204,1.79488431551683,0.750897089997232,0.518,293.884404918339,195.476898892847,98.4075060254921,27.107921839144,-88.0945574759823,0,-1.45164969841848
6,1.32730637232664,1.19078224735637,1.72277200321258,0.5,0.956576518268297,1.90959343842377,1.37416473095208,0.518,788.149996869677,285.252378623,502.897618246677,34.9188965612556,-87.5670102957401,1,-3.28535511200286
7,1.22208132143514,0.530069256695581,0.527915871113222,0.888666493550028,0.612115787950445,0.765354881497578,0.966807816466722,0.518,380.207641593145,207.401852033375,172.80578955977,27.3781819185438,-88.6198688370955,0,-0.923011489226111
8,1.84227520205107,1.13992482519661,0.765463556604139,1.36021536683808,1.57527757796957,1.88474556612076,1.22882387184365,0.518,277.605498789463,170.717146613893,106.88835217557,35.6442032452836,-89.1632005048184,0,-2.2476604701031
9,1.03352111934377,0.684454344999058,1.89718404934272,1.89479895018842,1.20385039670378,1.37703263940845,1.54897134946353,0.518,355.572213712806,259.533166397013,96.0390473157926,25.7400424809864,-89.770864579164,0,-1.458934527354
10,0.927143700795305,0.8813331143729,1.67884321829077,0.736073190990768,1.76425348748498,1.04976808191181,1.68620788777502,0.518,335.702614125046,237.419544609356,98.2830695156906,29.1622732979979,-88.2079201734102,0,-3.12909738703052
11,0.995632319526428,0.836508194451878,0.969769270122298,1.24066932783597,1.19084200827535,1.29168278874821,0.552429491125788,0.518,316.332002570178,202.323371703115,114.008630867063,29.7047701132074,-89.0317815029006,0,-1.09053394889857
12,1.58594447884161,1.45601888127306,1.24634346693357,0.905076842456267,1.83878058175527,1.97631625475551,1.85427717184918,0.518,318.103046331068,188.929544537461,129.173501793608,39.3120329705145,-88.3993651835078,0,-5.83254527119946
13,1.38967646012274,1.54768595840245,0.727345752555471,1.8209432742756,1.28688188252189,1.42528088260453,1.63583088577744,0.518,267.601525635995,147.433484862494,120.168040773501,41.5937873646946,-89.7514890831672,0,-6.44833249879823
14,0.8791933860825,1.42434113050631,0.687086092785559,1.52533948013612,1.31234247240797,1.11717761346156,0.673776355296478,0.518,253.398443076219,138.41055804031,114.987885035909,40.1834058785115,-89.4699810031929,0,-3.56564303604572
15,0.7382881908222,1.78333849667776,1.04390978579541,1.48316452604914,1.9032814704744,1.60128357169576,1.9283178701991,0.518,228.24381296153,117.86042176797,110.38339119356,43.9880179163824,-89.4496449780882,0,-9.47752964130052
16,1.40587098362423,0.997534388594502,0.845763726341934,1.10376733972174,1.06881238136326,1.00309813787336,1.95948059982875,0.518,343.366760024027,202.903752541236,140.463007482791,32.3176776717813,-88.8114757050621,0,-3.26571554514718
17,0.562989364094147,0.990991381661493,1.13176639718458,0.976841329921532,0.655393301923643,0.545906439733334,0.625928776986139,0.518,389.717323776144,216.932497737987,172.784826038157,32.3144317161351,-88.7463055516892,0,-2.21883762663941
18,1.76977889440951,1.63258328725857,0.55207519270947,0.804049287319923,0.548699683200243,0.665350877800119,1.13052504743309,0.518,437.237118579106,183.409897219272,253.827221359835,41.9437496696501,-88.3862660296095,0,-4.33280694668718
19,1.46144837345462,0.89726038792424,1.94258644582767,0.621246398663973,1.73632316819814,0.608251452556612,1.86775730964666,0.518,409.284999542066,287.013540689109,122.271458852956,29.396200407175,-87.8169429540935,0,-1.84134475714137
