model_id,LHS_ICaL,LHS_INa,LHS_INaCa,LHS_INaK,LHS_IKr,LHS_IKs,LHS_Ito,concentration_uM,APD90,APD30,triangulation,Vpeak,Vrest,EAD,max_repol_rate
1,1.66712530280973,1.58422786120084,1.33355027907539,1.25207012855353,2,1.46625357190836,0.795559355367615,0.423,239.589661773043,156.483285689482,83.1063760835602,37.4732730843314,-89.1136967750842,0,-3.59448977298619
2,1.60748560529636,1.35056448125833,1.4293407191597,1.03796234910971,1.40338292856475,1.72619819786196,1.1561628758251,0.423,300.129483929002,190.353115587274,109.776368341728,33.992935932862,-88.8280993308638,0,-3.86917653166385
3,0.81943647190566,1.06700152090386,0.920567089226194,1.75022995323641,0.813581255017887,1.2362521639196,0.889428969443943,0.423,261.671157444967,152.296597370926,109.374560074041,29.9969626320838,-89.7715556445045,0,-3.41922686982558
4,1.27256943476704,1.74161443151063,1.28718866578003,1.66572390021344,1.63575991288039,1.53429001897035,0.697863550749284,0.423,232.84678838694,138.992681863198,93.8541065237429,39.7204527222807,-89.6172693255933,0,-4.46931347890235
5,0.53707275747463,0.789658183989127,1.19270095566806,0.56395417746296,1.49424403436204,1.79488431551683,0.750897089997232,0.423,239.55495867928,155.773496204152,83.7814624751276,22.6775741339986,-88.3771312411084,0,-1.75480753132087
6,1.32730637232664,1.19078224735637,1.72277200321258,0.5,0.956576518268297,1.90959343842377,1.37416473095208,0.423,407.91640642684,251.762155598605,156.154250828236,30.5428415479072,-88.0483059580686,0,-3.86230441921946
7,1.22208132143514,0.530069256695581,0.527915871113222,0.888666493550028,0.612115787950445,0.765354881497578,0.966807816466722,0.423,325.700944121293,192.528658462122,133.172285659172,21.152683444999,-88.8313721344541,0,-1.11243180351586
8,1.84227520205107,1.13992482519661,0.765463556604139,1.36021536683808,1.57527757796957,1.88474556612076,1.22882387184365,0.423,230.138203917353,148.063937987684,82.0742659296695,31.133624821476,-89.3201983398577,0,-2.49194559082599
9,1.03352111934377,0.684454344999058,1.89718404934272,1.89479895018842,1.20385039670378,1.37703263940845,1.54897134946353,0.423,278.373124497225,204.40698012373,73.9661443734952,21.0371677890646,-89.8562605809949,0,-2.14950907530455
10,0.927143700795305,0.8813331143729,1.67884321829077,0.736073190990768,1.76425348748498,1.04976808191181,1.68620788777502,0.423,263.175993532225,188.332300011802,74.843693520423,24.6484314044423,-88.5224954584364,0,-3.86292820867881
