model_id,LHS_ICaL,LHS_INa,LHS_INaCa,LHS_INaK,LHS_IKr,LHS_IKs,LHS_Ito,concentration_uM,APD90,APD30,triangulation,Vpeak,Vrest,EAD,max_repol_rate
1,1.66712530280973,1.58422786120084,1.33355027907539,1.25207012855353,2,1.46625357190836,0.795559355367615,0.518,227.553570626716,143.298649312882,84.2549213138343,41.8505791286946,-89.08898751878,0,-4.43889268387384
2,1.60748560529636,1.35056448125833,1.4293407191597,1.03796234910971,1.40338292856475,1.72619819786196,1.1561628758251,0.518,286.151359261006,175.741357480719,110.410001780288,38.401767618878,-88.7994751019323,0,-4.82082729772537
3,0.81943647190566,1.06700152090386,0.920567089226194,1.75022995323641,0.813581255017887,1.2362521639196,0.889428969443943,0.518,250.799676200742,143.726268202154,107.073407998588,34.4558272951637,-89.7534400912808,0,-4.1486597278557
4,1.27256943476704,1.74161443151063,1.28718866578003,1.66572390021344,1.63575991288039,1.53429001897035,0.697863550749284,0.518,223.419733873934,128.522933523639,94.8968003502944,43.9678772707224,-89.5929972000421,0,-5.18275338222076
5,0.53707275747463,0.789658183989127,1.19270095566806,0.56395417746296,1.49424403436204,1.79488431551683,0.750897089997232,0.518,222.700786682622,140.297305572312,82.4034811103097,27.128254236905,-88.3642838963678,0,-2.33497290508
6,1.32730637232664,1.19078224735637,1.72277200321258,0.5,0.956576518268297,1.90959343842377,1.37416473095208,0.518,393.698525072962,231.315083321883,162.383441751079,34.9695194429416,-88.008219319734,0,-4.79125740928321
7,1.22208132143514,0.530069256695581,0.527915871113222,0.888666493550028,0.612115787950445,0.765354881497578,0.966807816466722,0.518,307.385899595568,179.79299704607,127.592902549498,23.5073376447586,-88.8189908769206,0,-1.10245366187238
8,1.84227520205107,1.13992482519661,0.765463556604139,1.36021536683808,1.57527757796957,1.88474556612076,1.22882387184365,0.518,219.305511440853,141.351340809459,77.9541706313934,35.4787934532178,-89.3027383777093,0,-3.35899420199764
9,1.03352111934377,0.684454344999058,1.89718404934272,1.89479895018842,1.20385039670378,1.37703263940845,1.54897134946353,0.518,270.691182505375,192.712968903176,77.9782136021985,25.4271412206631,-89.8316708278057,0,-2.9219298558154
10,0.927143700795305,0.8813331143729,1.67884321829077,0.736073190990768,1.76425348748498,1.04976808191181,1.68620788777502,0.518,250.537177838028,173.975500231482,76.5616776065464,29.1466671877068,-88.4963012450459,0,-4.77372105128524
